#Proactive Hunt C2 Threat Intelligence Feeds Generated on Threatview[.]io on 16-June-2021. Machine Readable feed available at https://threatview[.]io/Downloads/High-Confidence-CobaltstrikeC2_IP_feed.txt
IP,Date of Detection,Host,Protocol,Beacon Config,Comment
3.143.220.25,21 June 2021  8:00 AM UTC,evilmarketingcompany.com,https,"www.evilmarketingcompany.com,/s/ref=nb_sb_noss_1/167-3294888-0262949/field-keywords=books",Generated by Threatview[.]io Proactive Hunter
172.67.194.230,21 June 2021  8:00 AM UTC,windowsupdates.me,https,"c1.windowsupdates.me,/fwlink",Generated by Threatview[.]io Proactive Hunter
46.17.40.50,21 June 2021  8:00 AM UTC,xthik.com,https,"46.17.40.50,/__utm.gif",Generated by Threatview[.]io Proactive Hunter
202.182.109.1,17 June 2021  8:00 AM UTC,202.182.109.1.vultr.com,https,"202.182.109.1,/dot.gif",Generated by Threatview[.]io Proactive Hunter
207.148.94.248,17 June 2021  8:00 AM UTC,207.148.94.248.vultr.com,https,"207.148.94.248,/fwlink",Generated by Threatview[.]io Proactive Hunter
139.180.197.90,17 June 2021  8:00 AM UTC,139.180.197.90.vultr.com,https,"www.googlet.cf,/__utm.gif",Generated by Threatview[.]io Proactive Hunter
45.77.249.181,17 June 2021  8:00 AM UTC,45.77.249.181.vultr.com,https,"45.77.249.181,/updates.rss",Generated by Threatview[.]io Proactive Hunter
149.28.92.150,17 June 2021  8:00 AM UTC,149.28.92.150.vultr.com,https,"149.28.92.150,/dot.gif",Generated by Threatview[.]io Proactive Hunter
149.28.88.135,17 June 2021  8:00 AM UTC,149.28.88.135.vultr.com,https,"149.28.88.135,/IE9CompatViewList.xml",Generated by Threatview[.]io Proactive Hunter
155.138.230.65,17 June 2021  8:00 AM UTC,155.138.230.65.vultr.com,https,"outdoortravelequipment.com,/s/ref=nb_sb_noss_1/167-3294888-0262949/field-keywords=books,155.138.230.65,/s/ref=nb_sb_noss_1/167-3294888-0262949/field-keywords=books",Generated by Threatview[.]io Proactive Hunter
179.60.150.27,17 June 2021  8:00 AM UTC,,https,"179.60.150.27,/c/msdownload/update/others/2020/10/29136388_",Generated by Threatview[.]io Proactive Hunter
179.60.150.24,17 June 2021  8:00 AM UTC,,https,"179.60.150.24,/match",Generated by Threatview[.]io Proactive Hunter
8.210.68.113,17 June 2021  8:00 AM UTC,,https,"bbs.robomaster.com,/viewerng/meta,tianqi.com,/viewerng/meta,juejin.cn,/viewerng/meta,btcfans.com,/viewerng/meta,xue338.com,/viewerng/meta,python2.net,/viewerng/meta,w2bc.com,/viewerng/meta,jiangzi.com,/viewerng/meta,mytokencap.com,/viewerng/meta",Generated by Threatview[.]io Proactive Hunter
120.79.29.153,17 June 2021  8:00 AM UTC,,https,"120.79.29.153,/j.ad",Generated by Threatview[.]io Proactive Hunter
42.194.133.101,17 June 2021  8:00 AM UTC,,https,"42.194.133.101,/ga.js",Generated by Threatview[.]io Proactive Hunter
77.83.159.58,17 June 2021  8:00 AM UTC,,https,"77.83.159.58,/load",Generated by Threatview[.]io Proactive Hunter
186.202.57.168,17 June 2021  8:00 AM UTC,vps29126.publiccloud.com.br,https,"ssl.securelogonweb.com,/s/ref=nb_sb_noss_1/167-3294888-0262949/field-keywords=books,186.202.57.168,/s/ref=nb_sb_noss_1/167-3294888-0262949/field-keywords=books",Generated by Threatview[.]io Proactive Hunter
141.164.39.54,17 June 2021  8:00 AM UTC,141.164.39.54.vultr.com,https,"test.corecloud.asia,/login,p5193nsg.corecloud.asia,/admin,thjf3943.corecloud.asia,/login",Generated by Threatview[.]io Proactive Hunter
39.98.49.51,17 June 2021  8:00 AM UTC,,https,"39.98.49.51,/cm",Generated by Threatview[.]io Proactive Hunter
47.103.158.65,17 June 2021  8:00 AM UTC,,https,"47.103.158.65,/cm",Generated by Threatview[.]io Proactive Hunter
47.102.37.135,17 June 2021  8:00 AM UTC,,https,"47.102.37.135,/pixel.gif",Generated by Threatview[.]io Proactive Hunter
114.55.94.125,17 June 2021  8:00 AM UTC,,https,"198.18.2.81,/zzzzzzzzz,221.230.142.27,/zzzzzzzzz,
17.24.11.18,/zzzzzzzzz,112.240.60.42,/zzzzzzzzz,1.180.19.71,/zzzzzzzzz,36.99.198.98,/zzzzzzzzz,61.1
,4.117.55,/zzzzzzzzz,42.81.144.96,/zzzzzzzzz",Generated by Threatview[.]io Proactive Hunter
207.246.109.161,16 June 2021 05:30 AM UTC,heronprojectzx.com,https,heronprojectzx.com,/ce.html,Generated by Threatview[.]io Proactive Hunter
198.251.89.43,16 June 2021 05:30 AM UTC,serviceofservers.com,https,serviceofservers.com,/af.js,Generated by Threatview[.]io Proactive Hunter
104.21.19.244,16 June 2021 05:30 AM UTC,xjhiaoiauo.xyz,https,www.xjhiaoiauo.xyz,/w/index.php,Generated by Threatview[.]io Proactive Hunter
3.96.237.141,09 June 2021  9:00:00 AM UTC,bluepointdigital.net,https,"techgiantsonline.com,/bootstrap-1.1.min.js,bluepointdigital.net,/bootstrap-1.1.min.js"
54.75.240.93,09 June 2021  9:00:00 AM UTC,escanorc.com,https,"dkmcxs5z73pr.cloudfront.net,/jquery-3.3.1.min.js"
3.98.26.32,09 June 2021  9:00:00 AM UTC,rush-tokyo.net,https,"wisdomoffitness.com,/bootstrap-1.1.min.js,rush-tokyo.net,/bootstrap-1.1.min.js"
15.222.114.7,09 June 2021  9:00:00 AM UTC,techgiantsonline.com,https,"techgiantsonline.com,/bootstrap-1.1.min.js,bluepointdigital.net,/bootstrap-1.1.min.js"
45.147.231.12,09 June 2021  9:00:00 AM UTC,waceko.com,https,"45.147.231.12,/FAQ.html"
45.147.231.12,09 June 2021  9:00:00 AM UTC,waceko.com,https,"waceko.com,/FAQ.html"
52.60.69.45,09 June 2021  9:00:00 AM UTC,wisdomoffitness.com,https,"wisdomoffitness.com,/bootstrap-1.1.min.js,rush-tokyo.net,/bootstrap-1.1.min.js"
194.126.173.29,09 June 2021  9:00:00 AM UTC,xeraphoremat.net,https,"xeraphoremat.net,/_/scs/mail-static/_/js/"
23.82.140.186,09 June 2021  9:00:00 AM UTC,yazorac.com,https,"yazorac.com,/us.css"
74.118.138.159,09 June 2021  9:00:00 AM UTC,zulomuw.com,https,"zulomuw.com,/templates"
207.148.79.138,04 June 2021 10:00AM UTC,,https,"mail.powssxctaiwan.xyz,/updatasdasdes",Generated by Threatview[.]io Proactive Hunter
13.67.114.241,27 May 2021 09:00 AM UTC,futurelabtech.com,https,"kidscodeacademyblog.com,/temp.html",Generated by Threatview[.]io Proactive Hunter
74.118.138.162,27 May 2021 09:00 AM UTC,pavateg.com,https,"pavateg.com,/btn_bg",Generated by Threatview[.]io Proactive Hunter
23.82.140.186,27 May 2021 09:00 AM UTC,yazorac.com,https,"yazorac.com,/us.css",Generated by Threatview[.]io Proactive Hunter
74.118.138.159,27 May 2021 09:00 AM UTC,zulomuw.com,https,"zulomuw.com,/templates",Generated by Threatview[.]io Proactive Hunter
185.215.113.213,27 May 2021 09:00 AM UTC,vmware.center,https,"vmware.center,/w/index.php",Generated by Threatview[.]io Proactive Hunter
194.126.173.29,27 May 2021 09:00 AM UTC,xeraphoremat.net,https,"xeraphoremat.net,/_/scs/mail-static/_/js/",Generated by Threatview[.]io Proactive Hunter
1.15.144.116,24 May 2021 09:00 AM UTC,,https,"1.15.144.116,/activity",Generated by Threatview[.]io Proactive Hunter
167.99.197.196,24 May 2021 09:00 AM UTC,,https,"workhub.microsoft.com,/pab2a2q2ba2/22292123262328282_",Generated by Threatview[.]io Proactive Hunter
54.214.197.200,24 May 2021 09:00 AM UTC,ec2-54-214-197-200.us-west-2.compute.amazonaws.com,https,"pnwcontent-delivery.com,/updates.rss",Generated by Threatview[.]io Proactive Hunter
188.34.142.201,24 May 2021 09:00 AM UTC,static.201.142.34.188.clients.your-server.de,https,"188.34.142.201,/cm",Generated by Threatview[.]io Proactive Hunter
119.3.141.162,24 May 2021 09:00 AM UTC,ecs-119-3-141-162.compute.hwclouds-dns.com,https,"123.129.244.199,/jquery-3.3.1.min.js,117.25.156.165,/jquery-3.3.1.min.js,36.102.212.85,/jquery-3.3.1.min.js,221.181.200.212,/jquery-3.3.1.min.js,119.3.141.162,/jquery-3.3.1.min.js",Generated by Threatview[.]io Proactive Hunter
135.181.139.6,24 May 2021 09:00 AM UTC,static.6.139.181.135.clients.your-server.de,https,"htotrk.global.ssl.fastly.net,/en_US/all.js",Generated by Threatview[.]io Proactive Hunter
3.135.189.104,24 May 2021 09:00 AM UTC,ec2-3-135-189-104.us-east-2.compute.amazonaws.com,https,"raymondjames.hostedconnectedrisk.com:,/access/",Generated by Threatview[.]io Proactive Hunter
194.36.191.12,24 May 2021 09:00 AM UTC,,https,"kasaa.net,/userid=",Generated by Threatview[.]io Proactive Hunter
18.133.129.215,24 May 2021 09:00 AM UTC,ec2-18-133-129-215.eu-west-2.compute.amazonaws.com,https,"azure-api.azureedge.net,/jquery-3.3.1.min.js",Generated by Threatview[.]io Proactive Hunter
206.166.251.75,24 May 2021 09:00 AM UTC,,https,"206.166.251.75,/__utm.gif",Generated by Threatview[.]io Proactive Hunter
45.153.184.167,24 May 2021 09:00 AM UTC,no-reverse-yet.local,https,"45.153.184.167,/__utm.gif",Generated by Threatview[.]io Proactive Hunter
5.180.76.245,24 May 2021 09:00 AM UTC,no-rdns.kddi.peering.digital-vm.com,https,"ocserv.faeinfo.me,/__utm.gif,5.180.76.245,/push",Generated by Threatview[.]io Proactive Hunter
52.166.232.140,24 May 2021 09:00 AM UTC,,https,"sbgprodib.oberto.za.net,/__utm.gif",Generated by Threatview[.]io Proactive Hunter
182.92.103.213,24 May 2021 09:00 AM UTC,,https,"182.92.103.213,/visit.js",Generated by Threatview[.]io Proactive Hunter
5.154.191.141,24 May 2021 09:00 AM UTC,1837-dec.moreacuter.com,https,"5.154.191.141,/dpixel,5.154.191.140,/dpixel",Generated by Threatview[.]io Proactive Hunter
156.255.2.36,24 May 2021 09:00 AM UTC,,https,"156.255.2.36,/pixel.gif",Generated by Threatview[.]io Proactive Hunter
96.44.160.141,24 May 2021 09:00 AM UTC,96.44.160.141.static.quadranet.com,https,"iorgcloud.cf,/activity",Generated by Threatview[.]io Proactive Hunter
3.83.145.77,24 May 2021 09:00 AM UTC,ec2-3-83-145-77.compute-1.amazonaws.com,https,"d2g37k1rs1nihw.cloudfront.net,/w/api.php",Generated by Threatview[.]io Proactive Hunter
121.37.139.238,24 May 2021 09:00 AM UTC,ecs-121-37-139-238.compute.hwclouds-dns.com,https,"121.37.139.238,/dot.gif",Generated by Threatview[.]io Proactive Hunter
78.129.165.207,24 May 2021 09:00 AM UTC,,https,"78.129.165.207,/av.css",Generated by Threatview[.]io Proactive Hunter
139.224.118.73,24 May 2021 09:00 AM UTC,,https,"104.153.66.20,/dpixel,172.67.196.170,/visit.js",Generated by Threatview[.]io Proactive Hunter
178.162.199.36,24 May 2021 09:00 AM UTC,,https,"178.162.199.36,/dot.gif",Generated by Threatview[.]io Proactive Hunter
122.10.52.70,24 May 2021 09:00 AM UTC,,https,"rtascloud.ml,/match",Generated by Threatview[.]io Proactive Hunter
47.98.123.167,24 May 2021 09:00 AM UTC,,https,"61.184.215.182,/pixel.gif",Generated by Threatview[.]io Proactive Hunter
111.229.51.128,24 May 2021 09:00 AM UTC,,https,"111.229.51.128,/s/ref=nb_sb_noss_1/167-3294888-0262949/field-keywords=books",Generated by Threatview[.]io Proactive Hunter
86.107.197.243,24 May 2021 09:00 AM UTC,no-reverse-yet.local,https,"86.107.197.243,/cm",Generated by Threatview[.]io Proactive Hunter
154.208.76.60,24 May 2021 09:00 AM UTC,,https,"rtascloud.ml,/match",Generated by Threatview[.]io Proactive Hunter
103.224.82.194,24 May 2021 09:00 AM UTC,,https,"fuckbc.ctlers.club,/5aq/XP/SY75Qyw.htm,cobalt.ctlers.club,/5aq/XP/SY75Qyw.htm",Generated by Threatview[.]io Proactive Hunter
173.82.197.229,24 May 2021 09:00 AM UTC,host-173-82-197-229-by.multacom.com,https,"173.82.197.229,/j.ad",Generated by Threatview[.]io Proactive Hunter
95.179.239.225,24 May 2021 09:00 AM UTC,95.179.239.225.vultr.com,https,"95.179.239.225,/IE9CompatViewList.xml",Generated by Threatview[.]io Proactive Hunter
167.71.141.53,24 May 2021 09:00 AM UTC,,https,"167.71.141.53,/dot.gif",Generated by Threatview[.]io Proactive Hunter
